Date,Average temperature,Average dewpoint,Average windspeed,Average direction,Rainfall for year,Maximum temperature,Maximum humidity,Maximum pressure,Maximum windspeed ,Maximum heat index,Average humidity,Average barometer,Average gustspeed,Rainfall for month,Maximum rain per minute,Minimum temperature,Minimum humidity,Minimum pressure,Maximum gust speed
13/04/2015,43.8,14.7,4.0,101,1.60,59.2,65,30.169,16.1,59.2,34,30.0,6.6,0.24,0.00,24.4,14,29.901,19.6
14/04/2015,37,29.8,6.2,0.24,0.00,23.8,8,29.463,27.6,46.3,15.5,3.8,243,1.60,66.0,74,30.059,19.6,66.0
15/04/2015,39.4,25.2,4.8,351,1.65,49.6,84,29.938,18.4,49.6,59,29.6,7.7,0.29,0.01,30.7,30,29.358,27.6
16/04/2015,87,30.1,2.0,0.60,0.01,29.1,74,29.920,11.5,31.4,28.0,1.0,114,1.96,33.0,94,30.198,10.4,33.0
17/04/2015,33.7,31.5,0.8,130,2.43,41.8,96,30.125,9.2,41.8,92,30.0,1.3,1.07,0.01,30.3,73,29.889,18.4
18/04/2015,79,29.9,2.0,1.47,0.01,23.2,48,29.806,11.5,32.6,26.5,1.1,20,2.83,44.0,91,30.049,8.1,44.0
19/04/2015,34.7,22.3,2.1,305,2.98,48.5,92,30.193,11.5,48.5,65,30.0,3.8,1.62,0.02,26.1,28,29.963,18.4
20/04/2015,64,29.9,5.1,1.64,0.01,24.2,27,29.826,29.9,35.0,22.6,3.0,334,3.00,47.2,86,30.019,21.9,47.2
21/04/2015,40.0,23.4,2.8,306,3.01,58.5,89,29.991,17.3,58.5,58,29.9,4.7,1.65,0.01,23.9,21,29.775,28.8
22/04/2015,62,29.8,3.6,1.65,0.00,25.3,18,29.677,27.6,41.1,27.3,2.2,278,3.01,60.4,89,29.946,19.6,60.4
23/04/2015,48.3,25.7,5.0,265,3.02,61.0,79,29.784,20.7,61.0,44,29.7,7.5,1.66,0.01,38.3,14,29.529,28.8
24/04/2015,51,29.5,9.6,1.69,0.01,35.8,29,29.472,28.8,44.1,26.2,6.4,256,3.05,54.5,84,29.627,18.4,54.5
25/04/2015,45.5,27.4,7.1,254,3.13,56.0,88,29.642,19.6,56.0,52,29.6,11.0,1.77,0.01,38.2,26,29.492,29.9
26/04/2015,89,29.8,3.3,2.11,0.01,34.4,81,29.566,12.7,36.7,33.6,1.7,77,3.47,41.1,92,30.039,9.2,41.1
27/04/2015,36.4,31.9,2.5,76,3.47,42.7,92,30.319,11.5,42.7,84,30.2,4.6,2.11,0.00,32.8,69,30.034,13.8
